year,city,zone,annual_precip_mm
2022,Maiduguri,Sahel,602.0
2022,Port Harcourt,Coastal,2045.1
2022,Sokoto,Sahel,534.8
2023,Abuja,Guinea Savanna,858.5
2023,Calabar,Coastal,2384.5
2023,Ilorin,Guinea Savanna,646.5
2023,Jos,Guinea Savanna,925.8
2023,Kano,Sahel,623.8
2023,Lagos,Coastal,1519.8
2023,Maiduguri,Sahel,469.6
2023,Port Harcourt,Coastal,2590.0
2023,Sokoto,Sahel,353.1
